"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.statement1a","Input.statement1b","Input.statement2a","Input.statement2b","Input.statement3a","Input.statement3b","Input.statement4a","Input.statement4b","Input.statement5a","Input.statement5b","Answer.Q1","Answer.Q2","Answer.Q3","Answer.Q4","Answer.Q5","Answer.comment1","Answer.comment2","Answer.comment3","Answer.comment4","Answer.comment5","Approve","Reject"
"3OEWW2KGQJPQZ8SR27FE4PNXX1TDOC","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:20:00 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:20:00 GMT 2014","","","37TRT2X24R5L5K13Y014PNDUWFYJB8","A1KGCOR8OXYR72","Approved","Fri Dec 19 16:59:45 GMT 2014","Fri Dec 19 17:02:42 GMT 2014","Sun Dec 21 17:02:42 GMT 2014","2014/12/21 17:03:11 +0000","","","177","100% (44/44)","100% (44/44)","100% (10/10)","I did this in the earlier stages of my career, when every little bit of CV weight helped.","On the one hand, it shows that you are engaged in this necessary part of scientific research that is peer-review.","the act of combining, blending, integrating","the act of chipping something.","You should do what makes you happy and you find interesting.","You can definitely apply in a different field than your undergraduate.","If you have access to it, you can very easily do that with Thomson Reuters’ Web of Science portal.","You can have a look at the arXiv cultoromics website at http://arxiv.culturomics.org, which however searches in articles on the arXiv.","I can also add some other pointer I've come to learn over the years on what constitutes a good reviews.","There are certain things I look for when reviewing papers that are ""show stoppers"", i.e.","(1) Not equivalent, but are on the same topic.","(0) On different topics.","(0) On different topics.","(1) Not equivalent, but are on the same topic.","(2) Not equivalent, but share some details.","","","","",""
"3P888QFVX38KOHWW7TLY4OUWGGIQOU","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:42 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:42 GMT 2014","","","339ANSOTR6GQ3CLRMVTXCPHK6UIIKF","A301GNFG8W711Q","Approved","Fri Dec 19 16:52:49 GMT 2014","Fri Dec 19 16:54:33 GMT 2014","Sun Dec 21 16:54:33 GMT 2014","2014/12/21 16:58:07 +0000","","","104","100% (41/41)","100% (41/41)","0% (0/0)","an agent manipulates an instrument in order to achieve a purpose.","put into service; make work or employ for a particular purpose or for its inherent or natural purpose;","English spelling did deteriorate, due to almost abruptive historical changes.","Language can ""improve"" over time as well as ""just changing"".","It actually has nothing to do with a phonological rule, per se.","I doubt the explanations given elsewhere in this thread very much.","Another example of the same combination of gnarly syllable structure and tone is Tlingit, where words like [tʃχánkʼ] ‘grandkid’ and [ɬʔùɬ.tʃí.nì] ‘vest’ occur.","I think that the basic observation about agglutinative languages generally not having complex tonal systems is pretty well upheld.","It is, however, main-stream Indo-Europeanist theory that the suffix * -es marks both the genitive singular and the nominative plural m/f in proto-Indo-European.","There is a paper by Pavel Caha on Lingbuzz that addresses this exact question.","(1) Not equivalent, but are on the same topic.","(1) Not equivalent, but are on the same topic.","(0) On different topics.","(1) Not equivalent, but are on the same topic.","(1) Not equivalent, but are on the same topic.","","","","",""
"3KQC8JMJGC6IPZ4755EC774KU2Q3HG","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:20:00 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:20:00 GMT 2014","","","39JEC7537VFD6KT3TPBI3VU69N3VCA","A1LD0QIDVO016U","Approved","Fri Dec 19 16:40:41 GMT 2014","Fri Dec 19 16:43:20 GMT 2014","Sun Dec 21 16:43:20 GMT 2014","2014/12/21 16:48:09 +0000","","","159","100% (25/25)","100% (25/25)","100% (9/9)","Despite the fact that many people are ignorant of the effort made by the man. But I think that he is the only one who follows the right way. Though this was not free from some mistakes and lapses.","Despite the fact that many people are ignorant of the effort made by the man. But I think that he is the only one who follows the right way. And that this was not free from some of the mistakes and lapses.","This is such a loaded question I'm hesitant to answer.","Like @Suresh says, in the US, I would expect that the advisor-advisee relationship would be separate from enrollment in the department.","At some universities, a Post-Doctoral Fellow is a different title than a Post-Doctoral Researcher due to federal regulations in the USA.","In addition to Suresh's answer, I'd say that a postdoc is no longer a student.","For presentations, when you are using graphics from other papers, you refer to the paper.","There are two parts to this question: citation and copyright issues.","""All of the above""... but maybe not wanting a book that started from a primer on Linear Algebra.","The answer can best be understood in terms of the intended goal of the researcher making the switch.","(5) Completely equivalent, as they mean the same thing.","(0) On different topics.","(1) Not equivalent, but are on the same topic.","(1) Not equivalent, but are on the same topic.","(1) Not equivalent, but are on the same topic.","","Topic of statement 1 is not clear","","",""
"3NI0WFPPI9U6BILTQZ5P8IHNICP60M","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:07 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:07 GMT 2014","","","3E1QT0TDFQN68BJQD6WUMK8TBUM8IK","A1VS2PFZRWWPO3","Approved","Fri Dec 19 16:26:52 GMT 2014","Fri Dec 19 16:30:39 GMT 2014","Sun Dec 21 16:30:39 GMT 2014","2014/12/21 16:33:14 +0000","","","227","100% (66/66)","100% (66/66)","0% (0/0)","they dont have the same social and economic problems as we in the uk have which is a big factor..","little do they know they're far left utopia only works if the whole world is in it too.","i was in sever debt which through hard work i am getting out of.","in this instance, i chose the wrong words in my analogy of the situation.","Arrange a programme for an individual, group, or entity.","arrange a program of or for.","and it's not just skilled jobs but also unskilled jobs.","you must tell us who killed jfk.","if people need help, just assume charity and local gov'ts aren't enough and just tax everyone else to pay for it, what's the difference?","if millions have a disastrous medical issue, like cancer, or hundreds or thousands have a natural disaster issue, what's the difference?","(1) Not equivalent, but are on the same topic.","(0) On different topics.","(3) Roughly equivalent, but some important information differs/missing.","(0) On different topics.","(2) Not equivalent, but share some details.","","","","",""
"3KQC8JMJGC6IPZ4755EC774KU2PH3T","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:36 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:36 GMT 2014","","","3IAS3U3I0GULZO3VRFVCQ6RDU43B24","A3KCUB6P3IE8NL","Approved","Fri Dec 19 15:21:16 GMT 2014","Fri Dec 19 15:29:30 GMT 2014","Sun Dec 21 15:29:30 GMT 2014","2014/12/21 15:33:09 +0000","","","494","100% (7/7)","100% (7/7)","0% (0/0)","The surfer does a flip off of a wave.","A surfer does a flip on a wave.","A man wearing glasses stands in front of a snowy mountain.","A man wearing black shorts is standing in front of a snow covered mountain.","A girl bounces upside down on her head on a trampoline.","A girl is bouncing on her head on a trampoline.","A golden dog plays in the snow","Three dogs playing in the snow.","Juror: Sandusky appeared to accept his fate","Jerry Sandusky convicted of child sexual abuse","(5) Completely equivalent, as they mean the same thing.","(4) Mostly equivalent, but some unimportant details differ.","(5) Completely equivalent, as they mean the same thing.","(3) Roughly equivalent, but some important information differs/missing.","(1) Not equivalent, but are on the same topic.","","","","",""
"3LN50BUKPVPRIKSKUOQHC20SGFQPLK","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:36 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:36 GMT 2014","","","392CY0QWG255PAWO136H58SO98NI4K","AV3CA0IYNRCCJ","Approved","Fri Dec 19 15:50:52 GMT 2014","Fri Dec 19 15:54:03 GMT 2014","Sun Dec 21 15:54:03 GMT 2014","2014/12/21 15:58:09 +0000","","","191","100% (99/99)","100% (99/99)","100% (34/34)","Two children are playing in a green boat on the grass.","Two children are playing flag football together.","China yuan weakens to 6.3282 against USD Monday","China yuan retreats to 6.2697 against USD Thursday","a brown dog standing in the middle of ahuge field.","A brown dog in a field.","People travel up the elevator together.","people go up the escalator.","A man is holding a very long leash attached to a very large dog who is smelling the grass.","A man holds a long leash with a large gray dog attached to it.","(1) Not equivalent, but are on the same topic.","(3) Roughly equivalent, but some important information differs/missing.","(4) Mostly equivalent, but some unimportant details differ.","(3) Roughly equivalent, but some important information differs/missing.","(4) Mostly equivalent, but some unimportant details differ.","","","","",""
"3MQY1YVHS3YJD4521DQB2MWUTBLB2X","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:43 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:43 GMT 2014","","","3X3OR7WPZ0E8YCRWY9T7E00LSYC8LU","A2T5CROJ0FWIJY","Approved","Fri Dec 19 15:47:17 GMT 2014","Fri Dec 19 15:48:29 GMT 2014","Sun Dec 21 15:48:29 GMT 2014","2014/12/21 15:53:06 +0000","","","72","100% (34/34)","100% (34/34)","0% (0/0)","let me give you a maths example: pentagon, hexagon, heptagon, octagon, nonagon, decagon，??","The OP seems to be bilingual in English in Chinese.","At least, in night the ""t"" came from the original PIE word for night, noqu̯ts.","This kind of phonological ambiguity is frequent enough, also because sound may be distorted.","take in (mentally or physically)","take (gas, light or heat) into a solution.","In French, all the words are the same if they refer to the same animal or product.","Here is a funny clip from a dramatization of a Japanese class: Nihonjin no Shiranai Nihongo episode 1 clips.","Things like the Swadesh List are an attempt at a vocabulary list along the lines you are talking about.","I just read about a study on this which used a fascinating methodology.","(0) On different topics.","(1) Not equivalent, but are on the same topic.","(2) Not equivalent, but share some details.","(0) On different topics.","(0) On different topics.","","","","",""
"3MGHRFQY2L38U2VZWI0HR91GHMK0YI","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:44 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:44 GMT 2014","","","37U1UTWH9W0J1AM93TQ30C9KYQ18RK","A2T5CROJ0FWIJY","Approved","Fri Dec 19 15:48:30 GMT 2014","Fri Dec 19 15:51:44 GMT 2014","Sun Dec 21 15:51:44 GMT 2014","2014/12/21 15:53:14 +0000","","","194","100% (34/34)","100% (34/34)","0% (0/0)","Despite the fact that many people are ignorant of the effort made by the man. But I think that he is the only one who follows the right way. Though this was not free from some mistakes and lapses.","Despite the fact that many people are ignorant of the effort made by the man. But I think that he is the only one who follows the right way. And that this was not free from some of the mistakes and lapses.","If boiling isn't an option, aqua mira is usually a good choice.","Fecal contamination should not really be an issue unless someone is already sick.","The outside of a tent is designed to get wet, the key trick is to keep everything else dry.","There are all kinds of people who put up the fly first, then crouch under it putting up the inside.","In Latvia, Lithuania, Estonia, Poland You can camp almost anywhere in forest and near public waters.","Generally in England and Wales it is illegal to wild camp anywhere without prior permission from the land owner.","I recently hiked in the desert in April and drank 8 oz per half hour, which was a pint an hour.","I carry 6L in the Mojave dunes but find that I only drink 3 to 4L.","(5) Completely equivalent, as they mean the same thing.","(1) Not equivalent, but are on the same topic.","(1) Not equivalent, but are on the same topic.","(1) Not equivalent, but are on the same topic.","(1) Not equivalent, but are on the same topic.","","","","",""
"3PCPFX4U404QI4J38Q28HULIOFRQF8","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:36 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:36 GMT 2014","","","3C8HJ7UOP887OQA47BUZRXCERCEZMX","A1GXPNXDLMT0QB","Approved","Fri Dec 19 16:50:16 GMT 2014","Fri Dec 19 16:57:50 GMT 2014","Sun Dec 21 16:57:50 GMT 2014","2014/12/21 16:58:10 +0000","","","454","100% (80/80)","100% (80/80)","0% (0/0)","A hiker with a backpack is up on a misty mountain top.","A hiker climbing a rocky hill with fog surrounding him.","A man and woman sit on a car and watch the road.","A man and woman sitting on a parked car.","the act of pulling an object","the act of choosing or selecting.","A brown dog chews on an orange ball.","A dog has an orange ball in its mouth.","A bird sits in a tree.","A bird sits in a leafless tree.","(3) Roughly equivalent, but some important information differs/missing.","(4) Mostly equivalent, but some unimportant details differ.","(0) On different topics.","(4) Mostly equivalent, but some unimportant details differ.","(4) Mostly equivalent, but some unimportant details differ.","","","","",""
"3L55D8AUFABSOUQF8YT1MA3HQBGCYM","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:44 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:44 GMT 2014","","","3MAOD8E57ROO1DVPIULE7RL3O2KXNS","A16TESTJICU76L","Approved","Fri Dec 19 15:45:30 GMT 2014","Fri Dec 19 15:46:11 GMT 2014","Sun Dec 21 15:46:11 GMT 2014","2014/12/21 15:48:12 +0000","","","41","100% (97/97)","100% (97/97)","100% (29/29)","The simple solution is not to rub your arms against your torso.","There is a product called naked surf that you can apply as a liquid rash guard.","the 25 page long report asserted that out of the 18 goals , the government of al-maliki achieved only 8 , two of which were deemed "" weak . ""","it was stated in the write up , released in twenty-five pages , that al-maliki 's regime accomplished only eight of eighteen objectives , 2 of which were scored "" weak "" .","GPS (wikipedia) is based on orbiting satellites and so is accurate worldwide.","GPS systems can, and do, work everywhere you can get satellites.","Nylon dries fast, is resistant to ripping and tearing, and fairly breathable.","Nylon, among other synthetics, is an ideal material for clothing for most outdoor pursuits for several reasons.","The band actually works like a taut line hitch knot.","The simplest ones are like this, and even the more complex ones are typically broadly similar.","(0) On different topics.","(5) Completely equivalent, as they mean the same thing.","(5) Completely equivalent, as they mean the same thing.","(4) Mostly equivalent, but some unimportant details differ.","(0) On different topics.","","","","",""
"3M7OI89LVY2Q5AG92FY93JJOR1OC6N","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:20:01 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:20:01 GMT 2014","","","33IZTU6J82FLHQNUQQ206LV9B12SX9","A1VS2PFZRWWPO3","Approved","Fri Dec 19 17:42:57 GMT 2014","Fri Dec 19 17:51:37 GMT 2014","Sun Dec 21 17:51:37 GMT 2014","2014/12/21 17:53:10 +0000","","","520","100% (66/66)","100% (66/66)","0% (0/0)","Short answer: The full name is Izvestiya Akademii Nauk SSSR, Tekhnicheskaya Kibernetika.","As others have said, not every (old) article has a DOI or a URL.","Juror: Sandusky appeared to accept his fate","Jerry Sandusky convicted of child sexual abuse","The biggest obstacle is that you haven't been through a Ph.D. program.","It can be very difficult to get government financing depending on where you reside.","A few possible problems: 1) Such an ID system seems a little intrusive.","In mathematics, we already have a database of this sort - two them, in fact, with in MathSciNet and Zentralblatt MATH.","In your case, how do you find 14 good leaders from 70 students?","My armchair researching dug up a lot of articles about this.","(0) On different topics.","(1) Not equivalent, but are on the same topic.","(0) On different topics.","(0) On different topics.","(0) On different topics.","","","","",""
"3M4KL7H8KV16I76BMI9PMN0XN4V61P","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:07 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:07 GMT 2014","","","34Q075JO1YRDQGIPAVY916LPBUY01W","A347XXV5JH19PB","Approved","Fri Dec 19 16:15:31 GMT 2014","Fri Dec 19 16:16:15 GMT 2014","Sun Dec 21 16:16:15 GMT 2014","2014/12/21 16:18:16 +0000","","","44","100% (100/100)","100% (100/100)","0% (0/0)","It can store more than a gigabyte of information equivalent to around 12 hours of music in one cubic centimetre.","And it can store more than a gigabyte of information - equivalent to 1,000 high quality images or around 12 hours of music - in just one cubic centimetre.","obama has been a massive and utter failure.","consider it a preventative measure and use it wisely.","no college in their right mind would accept these kids in the past, and not one bank would give them a loan prior to the government guaranteeing the loan.","who in their right mind would chose not to help, if they could help in any way?","we call that space ""batshit crazy"".","he still hasn't to this day.","teachers and principles would not shield me from other kids and my family doesn't even know i exist.","i most certainly did not treat the disaster as if it doesn't exist.","(4) Mostly equivalent, but some unimportant details differ.","(0) On different topics.","(0) On different topics.","(0) On different topics.","(0) On different topics.","","","","",""
"3P7QK0GJ3TZFV28I7R6EO43XKE7Z2R","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:20:01 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:20:01 GMT 2014","","","3NKQQ8O39ZJNYXAHOVWORFA5GG5DU2","A1TTA3N401CZTS","Approved","Fri Dec 19 16:18:31 GMT 2014","Fri Dec 19 16:19:54 GMT 2014","Sun Dec 21 16:19:54 GMT 2014","2014/12/21 16:23:12 +0000","","","83","100% (96/96)","100% (96/96)","0% (0/0)","The short answer is: we are made from the ""stuff"" contributed by many stars.","It is highly unlikely that we're made out of stuff from only one star.","South Korea Orders Immediate Shutdown of 2 Nuclear Reactors","South Korea to boost nuclear power?","The metal content of the Solar system is completely dominated by the Sun.","The metals that are forming in the sun come from nuclear fusion.","It indeed appears the Andromeda galaxy (M31) and The Milky Way (MW) are en route to a collision.","In a few billion years, the Milky Way and Andromeda will collide.","Stellar mass black holes form from the collapse of massive stars at the end of their lives.","Stellar mass black holes and supermassive black holes likely form from very different mechanisms.","(3) Roughly equivalent, but some important information differs/missing.","(1) Not equivalent, but are on the same topic.","(2) Not equivalent, but share some details.","(4) Mostly equivalent, but some unimportant details differ.","(2) Not equivalent, but share some details.","","","","",""
"3LXX8KJXPWNEWIFAQRACIT476GE9OR","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:08 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:08 GMT 2014","","","33C7UALJVMCV85NS5ZBOULR7US781O","A1F8RKCA3O05CP","Approved","Fri Dec 19 15:44:49 GMT 2014","Fri Dec 19 16:04:50 GMT 2014","Sun Dec 21 16:04:50 GMT 2014","2014/12/21 16:08:17 +0000","","","1201","100% (93/93)","100% (93/93)","100% (4/4)","if this is accepted as the norm, what will follow?","this is the wrong thread for this.","the fight is today and it is continuing.","it was our day, how we wanted and it was wonderful.","if he did, he should face charges.","she then said she could not give me their number.","bring back the kitten.","being a university student.","an agent manipulates an instrument in order to achieve a purpose.","put into service; make work or employ for a particular purpose or for its inherent or natural purpose;","(0) On different topics.","(0) On different topics.","(0) On different topics.","(0) On different topics.","(1) Not equivalent, but are on the same topic.","","","","",""
"3N5YJ55YXGHAJGP3HIOZZZFMMORANS","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:36 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:36 GMT 2014","","","3KGTPGBS6YZ0VNC1R6C7VWJ1JPF2UH","A347XXV5JH19PB","Approved","Fri Dec 19 16:03:27 GMT 2014","Fri Dec 19 16:04:40 GMT 2014","Sun Dec 21 16:04:40 GMT 2014","2014/12/21 16:08:16 +0000","","","73","100% (100/100)","100% (100/100)","0% (0/0)","A child is walking from one picnic table to another.","The boy hops from one picnic table to the other in the park.","it revealed that somewhere around 50 to eighty suicide bombers are deployed monthly to the branch of al-qaida in the republic of iraq by a network which syria keeps up .","a network supported by syria is sending from 50 to 80 suicide bombers per month to "" al-qa 'ida "" in iraq , he revealed .","A dog in the snow.","Two dogs in snow.","A group of seven people are rafting in the rapids in a green boat.","A group of people are standing and sitting around on the ground at night.","A man wearing US flag boxer shorts is standing on a stairway.","A woman wearing a white shirt stands on the street.","(4) Mostly equivalent, but some unimportant details differ.","(5) Completely equivalent, as they mean the same thing.","(3) Roughly equivalent, but some important information differs/missing.","(0) On different topics.","(0) On different topics.","","","","",""
"3L55D8AUFABSOUQF8YT1MA3HQBGYC8","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:44 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:44 GMT 2014","","","3WMINLGALCHTEWQ5IUKM78GTODYCAM","A179VVX2QGAJK0","Approved","Fri Dec 19 15:38:44 GMT 2014","Fri Dec 19 15:40:29 GMT 2014","Sun Dec 21 15:40:29 GMT 2014","2014/12/21 15:43:08 +0000","","","105","100% (38/38)","100% (38/38)","0% (0/0)","Go to your nearest military surplus store and ask if they have any arctic water bottles.","We've been using flexible Platypus reservoirs and have had no trouble thus far.","An embolism in a medical context refers to any large moving mass or defect in the blood stream.","Here is an interesting article on wikipedia to give overview of pressure related injuries.","If you have space, you can seperate the tent body and the tent poles and pack them on the inside.","As mentioned in other answers, it will depend on the type of your backpack.","Close your eyes and stay in a prone position with as few bounces as possible.","I'm a sailboat skipper with 25 years experience, so perhaps my tips could help a bit.","Juror: Sandusky appeared to accept his fate","Jerry Sandusky convicted of child sexual abuse","(0) On different topics.","(0) On different topics.","(0) On different topics.","(0) On different topics.","(3) Roughly equivalent, but some important information differs/missing.","","","","",""
"3LVTFB9DE5WWW4FYJA8QZFLUPURQG7","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:37 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:37 GMT 2014","","","3HMVI3QICK6ANBEAI39ITYF9N7A1YV","AEDV0CBBPU0RE","Approved","Fri Dec 19 15:38:10 GMT 2014","Fri Dec 19 15:39:07 GMT 2014","Sun Dec 21 15:39:07 GMT 2014","2014/12/21 15:43:07 +0000","","","57","100% (99/99)","100% (99/99)","100% (61/61)","The Iranian forces have announced the completion of the first phase of the maneuvers successfully, during which the locally-made fixed and mobile radar network were used, in addition to radars of model for early detection. ","The Iranian forces have announced the completion of the first phase of the maneuvers successfully, during which the fixed and mobile radar network used homemade, in addition to radar for early detection of all its aspects.","A soccer player in a red uniform just kicked a ball.","A goalie in a red uniform kicks at the soccer ball to protect the goal.","A man in red and black is hitting a soccer ball with his head.","A man in a red striped soccer shirt heads a ball.","Four black dogs run across the grass.","A dog runs across the grassy field.","A brown dog is walking on the grass.","A dog chases another by a tree.","(5) Completely equivalent, as they mean the same thing.","(2) Not equivalent, but share some details.","(2) Not equivalent, but share some details.","(2) Not equivalent, but share some details.","(1) Not equivalent, but are on the same topic.","","","","",""
"3MWOYZD5WV2ZLKJ4R1TH0UZRB5UON4","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:08 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:08 GMT 2014","","","3NLZY2D53Q3E4GRSK3A70RLLM4CQL1","A1RXG8RE0SJ4LC","Approved","Fri Dec 19 18:26:57 GMT 2014","Fri Dec 19 18:27:42 GMT 2014","Sun Dec 21 18:27:42 GMT 2014","2014/12/21 18:28:08 +0000","","","45","100% (100/100)","100% (100/100)","0% (0/0)","it has just been announced that gerald ford, 38th president of the united states has died.","i have a history of giving due credit to president obama for the few things he has done right.","if you really want to dive into these ideas, in a much more in depth manner i suggest you watch this video.","you really do need to read what other experts in the field are saying, my friend.","the act of combining, blending, integrating","the act of chipping something.","we live in a society where everyone gets a voice, and this is the current policy.","it seems like if a candidate went to a state, and said, ""i hate all of you.","as a parent and grandma can i give you some advice hun?","you didn't request a beating and they gave you one anyway?","(0) On different topics.","(0) On different topics.","(0) On different topics.","(0) On different topics.","(0) On different topics.","","","","",""
"3MYASTQBG7PTKK57HK7ITUIXC2BDQK","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:20:02 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:20:02 GMT 2014","","","36U2A8VAG2DCTC0WQDF0YDB8WDDYKY","A1ODHC7GKYB5QA","Approved","Fri Dec 19 16:16:08 GMT 2014","Fri Dec 19 16:17:14 GMT 2014","Sun Dec 21 16:17:14 GMT 2014","2014/12/21 16:18:19 +0000","","","66","100% (100/100)","100% (100/100)","0% (0/0)","Naively, I would say that you're looking for a periodicity in the luminosity.","Any body with an irregular mass distribution will experience those wobblings.","Even though I'm a professional astronomer (but not an expert on this field), I don't have a good answer.","I can't give you an explicit ant mathematical explanation but maybe this simulations give you a hint.","Light may account for a small portion of dark matter, but it is unlikely to account for most/all of it.","In addition to @MBR's answer; there are other (less confusing) ways to represent the data.","The energy density of the universe is quite well known.","No energy is in transit as GRBs, just like Gamma rays that started in a GRB.","a type of military aircraft","a unit of military aircraft.","(0) On different topics.","(2) Not equivalent, but share some details.","(0) On different topics.","(0) On different topics.","(5) Completely equivalent, as they mean the same thing.","","","","",""
